COUNTER,AF3,F7,F3, FC5, T7, P7, O1, O2,P8, T8, FC6, F4,F8, AF4,GYROX, GYROY, TIMESTAMP, FUNC_ID, FUNC_VALUE, MARKER, SYNC_SIGNAL
7,3873.33,4102.05,4222.56,4423.08,4591.28,4680,4478.97,4440,4168.72,4513.33,4895.9,4493.85,4405.64,4621.03,1702,1697,5.539,0,0,0,0
8,3862.05,4087.18,4208.72,4421.03,4574.36,4677.95,4476.41,4428.72,4168.72,4505.64,4872.82,4477.95,4394.87,4611.79,1701,1695,5.547,0,0,0,0
9,3863.08,4091.79,4208.21,4420,4584.62,4669.23,4477.95,4428.72,4165.64,4491.79,4857.44,4471.79,4390.77,4613.33,1701,1697,5.555,0,0,0,0
10,3866.67,4094.36,4214.87,4418.46,4566.67,4671.79,4478.97,4427.69,4152.82,4493.33,4876.92,4480,4401.03,4618.97,1701,1695,5.562,0,0,0,0
11,3858.46,4080,4205.13,4414.36,4533.33,4682.56,4474.36,4411.28,4133.33,4489.74,4873.33,4474.87,4391.28,4608.21,1700,1698,5.57,0,0,0,0
12,3857.44,4081.54,4199.49,4419.49,4554.87,4674.87,4471.28,4410.77,4136.41,4487.69,4857.44,4470.77,4380.51,4601.54,1702,1697,5.578,0,0,0,0
13,3869.74,4098.97,4213.33,4426.15,4570.77,4659.49,4474.87,4429.74,4154.87,4502.56,4874.36,4484.62,4396.41,4614.36,1701,1697,5.586,0,0,0,0
14,3873.33,4101.54,4217.44,4422.56,4529.74,4660.51,4478.97,4434.87,4162.05,4510.26,4888.72,4492.31,4407.18,4625.13,1702,1697,5.594,0,0,0,0
15,3866.15,4093.85,4212.31,4417.44,4512.31,4669.74,4478.97,4430.26,4158.97,4506.15,4876.92,4487.18,4397.95,4620.51,1701,1696,5.602,0,0,0,0
16,3866.67,4092.31,4217.44,4418.97,4527.69,4674.36,4479.49,4431.79,4154.36,4506.15,4874.87,4488.72,4396.92,4617.44,1702,1696,5.609,0,0,0,0
17,3870.26,4095.9,4219.49,4418.97,4518.97,4673.85,4478.97,4436.41,4157.95,4504.1,4884.1,4493.33,4401.03,4624.1,1701,1696,5.618,0,0,0,0
18,3868.21,4098.46,4214.87,4419.49,4510.26,4667.69,4477.95,4445.64,4173.85,4510.77,4890.26,4493.33,4403.08,4629.74,1703,1698,5.625,0,0,0,0
19,3866.15,4096.92,4216.41,4422.56,4527.69,4663.08,4475.38,4443.08,4175.38,4524.1,4894.87,4492.82,4409.23,4626.15,1702,1696,5.632,0,0,0,0
20,3864.1,4100,4211.79,4422.56,4534.36,4667.18,4469.74,4418.97,4150.26,4509.74,4884.62,4488.21,4402.56,4613.85,1703,1697,5.641,0,0,0,0
21,3863.59,4105.64,4206.67,4422.56,4511.79,4673.85,4471.28,4420.51,4148.72,4497.44,4875.38,4484.1,4393.33,4613.33,1704,1695,5.648,0,0,0,0
22,3868.21,4105.64,4215.9,4422.05,4478.46,4680,4478.97,4449.23,4178.46,4518.46,4887.18,4494.36,4407.69,4625.64,1704,1696,5.657,0,0,0,0
